Provinsi;Tahun;Bulan;Kunjungan
SULAWESI SELATAN;2021;7;838925
SULAWESI TENGGARA;2021;7;190375
GORONTALO;2021;7;92090
SULAWESI BARAT;2021;7;89158
MALUKU;2021;7;32749
MALUKU UTARA;2021;7;44031
PAPUA BARAT;2021;7;26814
PAPUA BARAT DAYA;2021;7;0
PAPUA;2021;7;50949
PAPUA SELATAN;2021;7;0
PAPUA TENGAH;2021;7;0
PAPUA PEGUNUNGAN;2021;7;0
INDONESIA;2021;7;34572439
ACEH;2021;8;397120
SUMATERA UTARA;2021;8;1139616
SUMATERA BARAT;2021;8;635405
RIAU;2021;8;418261
JAMBI;2021;8;205004
SUMATERA SELATAN;2021;8;477028
BENGKULU;2021;8;123317
